DATE,NAAIM/NAAIM/MEAN/AVERAGE,NAAIM/NAAIM/MOST BEARISH RESPONSE,NAAIM/NAAIM/QUART 1 (25% AT/BELOW),NAAIM/NAAIM/QUART 2 (MEDIAN),NAAIM/NAAIM/QUART 3 (25% AT/ABOVE),NAAIM/NAAIM/MOST BULLISH RESPONSE,NAAIM/NAAIM/STANDARD DEVIATION,NAAIM/NAAIM/NAAIM NUMBER,NAAIM/NAAIM/S&P 500
8/5/2020,94.55,-5,87.5,100,100,200,49.4,94.55,3306.51
7/29/2020,97.44,17,87.25,100,100,200,36.13,97.44,3218.44
7/22/2020,97.88,50,75.75,100,100,200,33.91,97.88,3276.02
7/15/2020,90.53,0,61,100,100,200,49.38,90.53,3226.56
7/8/2020,85.09,0,52,87.5,100,200,50.49,85.09,3169.94
7/1/2020,71.47,-50,55,80,100,200,52.64,71.47,3115.86
6/24/2020,76.57,-15,50,75,100,200,43.91,76.57,3050.33
6/17/2020,88.25,11,74.25,94,100,200,37.33,88.25,3113.49
6/10/2020,77.48,-75,70,80,100,200,54.73,77.48,3190.14
6/3/2020,91.6,-20,80.5,100,105.5,150,36.69,91.6,3122.87
5/27/2020,81.65,0,50,76,100,200,43.17,81.65,3036.13
5/20/2020,63.22,-50,50,65,83.75,200,51.08,63.22,2971.61
5/13/2020,57.71,-9,20,50,76,200,49.3,57.71,2820
5/6/2020,67.95,0,47.5,66,85,200,41.07,67.95,2848.42
4/29/2020,78.55,-32,52.5,78,100,200,41.89,78.55,2939.51
4/22/2020,45.34,-100,0,50,80,200,57.95,45.34,2799.31
4/15/2020,28.71,-100,0,35,76,100,56.57,28.71,2783.36
4/8/2020,26.74,-100,0,25,40,100,44.54,26.74,2749.98
4/1/2020,23.67,-100,0,20.5,50,100,40.64,23.67,2470.5
3/25/2020,25.87,-32,0,15,50,100,34.05,25.87,2475.56
3/18/2020,10.65,-150,0,10,25,100,42.67,10.65,2398.1
3/11/2020,16.59,-200,0,10,39,100,58.88,16.59,2741.38
3/4/2020,29.03,-200,0,50,98.75,120,72.71,29.03,3130.12
2/26/2020,65.03,-100,20,75,100,200,69.72,65.03,3116.39
2/19/2020,87.91,0,74,99.38,100,200,35.15,87.91,3363.95
2/12/2020,86.08,0,72.5,100,100,200,37.59,86.08,3379.45
2/5/2020,62.49,-100,42.5,89.38,100,150,57.84,62.49,3334.69
1/29/2020,77.07,-100,59,100,100,200,57.93,77.07,3273.4
1/22/2020,93.75,39,90,100,100,150,21.13,93.75,3321.75
1/15/2020,89.47,0,75,100,100,150,37.35,89.47,3289.29
1/8/2020,94.16,0,90.75,100,100,200,40.66,94.16,3253.05
1/7/2020,71.47,-50,55,80,100,200,52.64,71.47,3115.86
1/1/2020,86.99,17,75.75,100,100,137,32.42,86.99,3230.78
12/25/2019,97.44,0,99.69,100,100,140,29.16,97.44,3223.38
12/18/2019,98.9,13,94.38,100,100,200,35.82,98.9,3191.14
12/11/2019,78.71,-30,65,98.75,100,200,50.69,78.71,3141.63
12/4/2019,77.8,-30,36,99,100,200,56.13,77.8,3112.76
11/27/2019,76.66,0,60,90,100,150,41.28,76.66,3140.52
11/20/2019,78.23,-30,70,100,100,200,52.05,78.23,3108.46
11/13/2019,72.25,-30,52.5,85,100,200,49.68,72.25,3094.04
11/6/2019,92.26,0,78.5,94.38,100,200,35.5,92.26,3076.78
10/30/2019,88.94,-30,71.25,90,100,200,39.58,88.94,3046.77
10/23/2019,65.67,-15,50,75,100,125,38.35,65.67,3004.52
10/16/2019,57.08,-200,60,80,95.38,100,67.4,57.08,2989.69
10/9/2019,57.32,-100,30,75,90,200,57.1,57.32,2919.4
10/2/2019,57.39,-200,7.5,75,100,200,78.3,57.39,2940.25
9/25/2019,64.85,-50,31.25,75,97.5,200,53.22,64.85,2966.6
9/18/2019,77.09,-50,42.5,90,100,200,62.04,77.09,3006.73
9/11/2019,75.76,-50,44.5,80,100,200,58.2,75.76,3000.93
9/4/2019,56.15,-100,50,70,93.05,134,53.29,56.15,2937.78
8/28/2019,59.99,-100,37.5,70,100,200,66.01,59.99,2887.94
8/21/2019,70.18,-100,61,82.5,100,200,60.34,70.18,2900.51
8/14/2019,58.08,-50,0,80,100,134,49.29,58.08,2840.6
8/7/2019,56.59,-100,0,80,100,200,61.58,56.59,2883.98
7/31/2019,91.41,0,85,100,100,200,41.31,91.41,2980.38
7/24/2019,95.75,-20,90,100,100,200,37.93,95.75,3005.47
7/17/2019,81.85,-100,80,98.75,100,200,53.98,81.85,3004.04
7/10/2019,87.34,0,68.75,95,100,200,35.63,87.34,2979.63
7/3/2019,79.36,-30,68.75,92.5,100,150,37.46,79.36,2973.01
6/26/2019,72.28,-100,54.75,90,100,200,56.56,72.28,2913.78
6/19/2019,74.91,0,64.5,77.5,99.06,100,25.39,74.91,2926.46
6/12/2019,74.26,-30,52.5,81,99.69,150,36.67,74.26,2879.84
6/5/2019,54.99,-150,50,68,92.5,134,57.55,54.99,2826.15
5/29/2019,59.69,-200,46.5,75,100,200,76.66,59.69,2802.39
5/22/2019,70.07,-50,64.25,80,99.69,100,38.76,70.07,2856.27
5/15/2019,72.82,-100,64,87.5,100,200,54.45,72.82,2850.96
5/8/2019,82.02,-150,89,95,100,200,63.69,82.02,2879.42
5/1/2019,89.8,-30,72.5,90,100,200,43.11,89.8,2923.73
4/24/2019,92.43,-30,90,100,100,200,38.32,92.43,2927.25
4/17/2019,93.37,40,82,100,100,200,29.9,93.37,2900.45
4/10/2019,88.9,-30,65,100,100,200,44.35,88.9,2888.21
4/3/2019,91.92,9,80,100,100,200,37.44,91.92,2867.24
3/27/2019,61.69,-50,38.75,72.5,100,200,58.85,61.69,2805.37
3/20/2019,78.25,-50,62,90,100,200,57.44,78.25,2832.57
3/13/2019,77.4,-30,52.5,88.5,100,200,50.84,77.4,2810.92
3/6/2019,73.9,-30,52.5,83.5,98.75,200,51.87,73.9,2771.45
2/27/2019,79.33,-24,50,80,96.43,200,48.78,79.33,2792.38
2/20/2019,77.86,-20,57.5,80,98.5,200,46.58,77.86,2784.7
2/13/2019,82.01,-20,60,85,100,200,40.51,82.01,2744.73
2/6/2019,83.39,-8,60,92,100,200,42.17,83.39,2737.7
1/30/2019,76.33,0,52.5,80,100,200,46.03,76.33,2681.05
1/23/2019,72.84,-5,50,70,100,200,45.67,72.84,2638.7
1/16/2019,75.51,0,45,67.5,100,200,51.01,75.51,2616.1
1/9/2019,66.8,0,6,70,99.5,200,60.63,66.8,2584.96
1/2/2019,59.43,-25,10,60,100,200,53.3,59.43,2506.85
12/26/2018,47.59,0,0,40,82.5,200,50.7,47.59,2467.7
12/19/2018,31.96,-100,0,18,62.5,200,63.86,31.96,2506.96
12/12/2018,55.51,0,2.5,49.5,94.44,200,50.14,55.51,2651.07
12/5/2018,61.96,-100,27.5,75,100,200,61.26,61.96,2700.06
11/28/2018,53.21,0,19.25,50,92.81,120,39.99,53.21,2743.79
11/21/2018,30.55,-200,2.5,30,79,130,73.89,30.55,2641.89
11/14/2018,35.13,-100,7,45,60,107,48.37,35.13,2722.18
11/7/2018,64.96,0,50,80,85,100,33.59,64.96,2813.89
10/31/2018,61.47,0,45,62.5,85,130,38.96,61.47,2711.74
10/24/2018,51.49,-200,22.5,62.5,92.5,150,72.86,51.49,2656.1
10/18/2018,67.76,-5,50,70,100,200,45.19,67.76,2809.21
10/10/2018,52.86,-133,16.5,50,92.5,200,64.94,52.86,2785.68
10/3/2018,84.49,0,60.25,82.5,100,200,43.37,84.49,2925.51
9/26/2018,90.73,0,65,90,100,200,44.58,90.73,2905.97
9/19/2018,83.92,0,59.75,90,100,200,38.02,83.92,2907.95
9/12/2018,90.19,20,75,97,100,200,37.62,90.19,2888.92
9/5/2018,85.01,0,66.25,97.5,100,200,43.57,85.01,2888.6
8/29/2018,98.3,30,80,100,100,200,38.53,98.3,2914.04
