TRADE DATE,NASDAQOMX/XNDXNNRGBP/INDEX VALUE,NASDAQOMX/XNDXNNRGBP/HIGH,NASDAQOMX/XNDXNNRGBP/LOW,NASDAQOMX/XNDXNNRGBP/TOTAL MARKET VALUE,NASDAQOMX/XNDXNNRGBP/DIVIDEND MARKET VALUE
8/7/2020,2000.58,2026.25,1983.49,9601787490338,2354699134
8/6/2020,2008.86,2010.14,1972.45,9643876861919,1144465501
8/5/2020,1983.44,1989.3,1974.41,9522999534353,0
8/4/2020,1993.23,1997.03,1975.78,9569987209954,0
8/3/2020,1987.76,1994.21,1977.11,9543739908786,0
7/31/2020,1946.89,1952.18,1910,9347512353977,132599160
7/30/2020,1925.2,1925.32,1891.39,9243499517492,680804283
7/29/2020,1927.07,1927.7,1911.44,9253180565151,0
7/28/2020,1906.29,1935.02,1906.23,9153366592402,0
7/27/2020,1939.23,1945.19,1915.31,9311551464692,87069212
7/24/2020,1920.55,1931.35,1894.17,9221955941769,0
7/23/2020,1945.02,2008.6,1937.77,9339459117985,0
7/22/2020,2000.4,2010.73,1983.74,9605383024711,0
7/21/2020,1990.58,2035,1987.13,9558200087188,0
7/20/2020,2028.84,2030.94,1969.14,9741896730514,0
7/17/2020,1989.61,1993.89,1976.06,9545288916494,0
7/16/2020,1975.7,1989.8,1952.03,9478560612507,0
7/15/2020,1986.38,2000.09,1968.52,9529772459831,0
7/14/2020,1998.85,1998.85,1943.29,9589602419193,0
7/13/2020,1968.62,2056.14,1968.45,9444561351421,0
7/10/2020,2005.17,2011.38,1972.89,9619956887552,0
7/9/2020,1997.23,2002.32,1965.88,9581825155544,150869288
7/8/2020,1984.25,1984.32,1962.36,9519742592560,0
7/7/2020,1960.67,1992.96,1960.5,9406586845667,0
7/6/2020,1985.85,1993.91,1963.22,9527381766365,0
7/2/2020,1943.59,1957.71,1942.1,9324630965092,948664807
7/1/2020,1932.86,1936.58,1912.73,9274100430062,0
6/30/2020,1925.61,1925.61,1894.74,9239319766376,663934203
6/29/2020,1901.92,1902.67,1854.92,9126307241192,256801395
6/26/2020,1872.96,1911.29,1867.84,8987606731649,0
6/25/2020,1907.42,1907.54,1870.15,9152974433561,0
6/24/2020,1882.03,1919.44,1874.14,9031116645788,0
6/23/2020,1909.49,1927.04,1907.61,9162915768727,0
6/22/2020,1906.43,1906.69,1886.05,9148189322073,0
6/19/2020,1896.09,1915.6,1885.16,9112966503778,812921035
6/18/2020,1888.47,1889.65,1875.58,9077159925895,0
6/17/2020,1864.43,1877.2,1860.3,8961575946425,0
6/16/2020,1854.18,1858.3,1827.7,8912304845686,103562152
6/15/2020,1822.16,1824.02,1772.95,8758504403238,0
6/12/2020,1804.88,1830.08,1782.32,8675465724981,230336843
6/11/2020,1776.18,1845.55,1776.06,8537743965351,814883124
6/10/2020,1853.28,1861.04,1838.48,8909172642438,0
6/9/2020,1834.62,1839.96,1820.22,8819482614406,0
6/8/2020,1826.05,1826.25,1799.26,8778293572877,0
6/5/2020,1807.91,1819.95,1782.25,8691090848321,0
6/4/2020,1788.66,1817.63,1779.25,8598559575093,998525030
6/3/2020,1803.96,1809.37,1794.21,8673116815604,460044529
6/2/2020,1800.71,1802.68,1775.43,8657922131625,0
6/1/2020,1800.43,1804.87,1792.2,8656562241145,0
5/29/2020,1809.69,1816.27,1774.58,8701100880232,70769526
5/28/2020,1789.61,1816.62,1786.02,8604629126927,584459375
5/27/2020,1810.02,1810.06,1757.7,8703366551516,81353008
5/26/2020,1778.83,1814.15,1778.83,8553469101838,0
5/22/2020,1808.11,1811.5,1792.18,8694233414536,0
5/21/2020,1797.43,1819.92,1794.67,8642908397175,34378791
5/20/2020,1809.79,1816.53,1793.96,8702363256109,2161654839
5/19/2020,1776.59,1799.37,1775.66,8504955238702,335419199
5/18/2020,1791.38,1797.63,1775.87,8576091202612,0
5/15/2020,1766.75,1768.73,1724.44,8458151250324,686376386
5/14/2020,1744.65,1745.19,1699.06,8353031406728,378314159
5/13/2020,1722.73,1760.89,1703.09,8248456875108,0
5/12/2020,1729.38,1778.19,1728.75,8280329499966,59501760
5/11/2020,1761.19,1773.74,1737.91,8432679756745,69207614
5/8/2020,1732.69,1740.13,1722.39,8296300415173,1780075259
5/7/2020,1733.38,1733.73,1718.26,8301354133372,339615966
5/6/2020,1700.43,1715.76,1694.56,8143917947670,881088165
5/5/2020,1677.37,1697.1,1672.72,8034311154950,0
5/4/2020,1663.78,1663.78,1631.57,7969244654562,0
5/1/2020,1626.04,1660.22,1625.8,7788477572780,518146246
4/30/2020,1669.14,1687.46,1656.72,7995439243526,193327593
4/29/2020,1689.52,1694.26,1660.35,8123818528375,0
4/28/2020,1632.05,1672.65,1630.81,7847521659814,0
4/27/2020,1665.84,1674.64,1659.35,8009979028044,90360112
4/24/2020,1665.86,1665.86,1631.51,8010181905228,69554014
4/23/2020,1631.79,1660.41,1631.63,7846417235858,0
4/22/2020,1644.12,1653.05,1621.35,7905719269237,0
4/21/2020,1601.36,1649.95,1590.32,7700110192710,0
4/20/2020,1636.35,1662.39,1636.13,7868347193199,0
4/17/2020,1652.24,1662.31,1630.26,7922935397868,0
4/16/2020,1645.92,1654.54,1610.44,7892642597159,0
4/15/2020,1608.09,1615.22,1594.02,7711247563570,0
4/14/2020,1613.87,1613.87,1576.88,7738940720237,195871134
4/13/2020,1558.79,1558.79,1525.96,7475010165346,0
4/9/2020,1545.49,1563.2,1534.13,7411243845819,86628875
4/8/2020,1554.51,1559.65,1522.43,7454576465780,0
4/7/2020,1529.98,1572.21,1524.07,7336938233857,0
4/6/2020,1542.39,1550.22,1479.89,7396484246886,0
4/3/2020,1436.34,1464.46,1419.14,6887899135813,0
4/2/2020,1442.74,1442.95,1403.03,6918573534727,1152713297
4/1/2020,1409.1,1452.41,1400.85,6758389133158,0
3/31/2020,1473.65,1511.58,1462.08,7068007969945,654057289
3/30/2020,1486.2,1490.93,1442.83,7128836665203,313284734
3/27/2020,1436.27,1473.92,1421.87,6889642979762,0
3/26/2020,1521.62,1521.85,1469.65,7299064127616,0
3/25/2020,1485.2,1538.72,1466.17,7124371668607,0
3/24/2020,1499.2,1503.01,1457.23,7191540971475,112894569
3/23/2020,1425.85,1456.27,1376.72,6839805055996,0
3/20/2020,1392.62,1481.64,1391.32,6680389684219,859619599
3/19/2020,1461.35,1519.76,1416.36,7010968510740,0
3/18/2020,1426.03,0,0,6841505076756,0
3/17/2020,1454.8,0,0,6979538054163,0
3/16/2020,1336.9,1434.9,1333.16,6413924137263,64637283
3/13/2020,1507.31,1513.32,1369.09,7231554828885,64985369
3/12/2020,1354.03,1448.15,1346.77,6496227694330,1262225917
3/11/2020,1452.37,1485.83,1439.94,6969365720186,0
3/10/2020,1512.51,1516.51,1425.19,7257962325244,0
3/9/2020,1417.84,1471.47,1409.61,6803685786530,28266673
3/6/2020,1529.83,1537.63,1493.63,7341093835572,0
3/5/2020,1568.59,1603.2,1554.18,7527106599513,835423012
3/4/2020,1631.76,1631.88,1579.9,7831113357866,429459610
