TRADE DATE,NASDAQOMX/XNDXT25/INDEX VALUE,NASDAQOMX/XNDXT25/HIGH,NASDAQOMX/XNDXT25/LOW,NASDAQOMX/XNDXT25/TOTAL MARKET VALUE,NASDAQOMX/XNDXT25/DIVIDEND MARKET VALUE
8/12/2020,,0,0,,397989
8/11/2020,1357.65,1378.62,1355.36,2608048115,0
8/10/2020,1367.19,1367.87,1352.57,2626363720,392619
8/7/2020,1361.95,1363.33,1349.64,2616696771,0
8/6/2020,1365.71,1367.64,1357.51,2623921929,223322
8/5/2020,1363.9,1370.34,1358.86,2620665691,0
8/4/2020,1375.07,1375.13,1356.89,2642116654,0
8/3/2020,1358.18,1359.32,1347.1,2609664793,0
7/31/2020,1350.94,1353.02,1329.58,2595753816,0
7/30/2020,1352.45,1355.04,1333.77,2598661205,0
7/29/2020,1345.31,1349.66,1332.5,2584939427,0
7/28/2020,1329.42,1348.76,1328.19,2554415511,0
7/27/2020,1346.7,1347.6,1326.67,2587604713,0
7/24/2020,1325.19,1336.98,1320.76,2546287149,0
7/23/2020,1341.37,1363.76,1335.74,2577381930,0
7/22/2020,1361.66,1369.04,1356.29,2616365362,0
7/21/2020,1360.23,1376.67,1356.53,2613606068,0
7/20/2020,1364.12,1367.57,1346.68,2621089370,0
7/17/2020,1348.55,1351.62,1342.01,2591160805,0
7/16/2020,1346.59,1349.56,1336.88,2587409744,0
7/15/2020,1353.35,1356.6,1335.5,2600393462,0
7/14/2020,1328.18,1329.7,1296.44,2552033923,0
7/13/2020,1314,1349.17,1312.22,2524787699,0
7/10/2020,1326.72,1327.06,1307.94,2549221525,0
7/9/2020,1319.88,1326.06,1300.93,2536081720,1088929
7/8/2020,1318.39,1321.45,1305.4,2534303188,0
7/7/2020,1315.35,1331.43,1314.11,2528452863,0
7/6/2020,1330.98,1336.64,1323.75,2558515333,0
7/2/2020,1302.87,1316.89,1301.2,2504479239,0
7/1/2020,1291.66,1299.18,1283.87,2482921847,0
6/30/2020,1293.66,1298.07,1277.52,2486759687,0
6/29/2020,1278.19,1279.08,1249.79,2457023054,0
6/26/2020,1258.02,1276.48,1252.69,2418257077,0
6/25/2020,1273.85,1274.6,1250.79,2448679849,0
6/24/2020,1265.45,1293.12,1257.18,2432539842,0
6/23/2020,1299.71,1310.74,1298.12,2498397111,0
